name,price,color,size,description,category,image,sizes
Arctic_parka,99.99,Brown,M,"The Arctic Parka offers serious style and weather protection in one. Rugged, durable, and street-approved.",JACKETS,arctic_parka.jpg,"S,M,L,XL,XXL"
Black_and_yellow_t,29.99,Black,M,"The Black And Yellow T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,black_and_yellow_t.jpg,"S,M,L,XL,XXL"
Black_classic_trunks,59.99,Black,M,"Ride the waves or chill by the shore in the Black Classic Trunks. Quick-drying, durable, and styled to stand out.",TRUNKS,black_classic_trunks.jpg,"S,M,L,XL,XXL"
Black_knit_sweater,19.99,Black,M,"The Black Knit Sweater is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,black_knit_sweater.jpg,"S,M,L,XL,XXL"
Brown_hoodie,19.99,Brown,M,"The Brown Hoodie is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,brown_hoodie.jpg,"S,M,L,XL,XXL"
Brown_hoodie_two,19.99,Brown,M,"The Brown Hoodie Two is a unique piece in the Drift Cult collection, crafted with detail and built for daily wear.",SWEATER,brown_hoodie_two.jpg,"S,M,L,XL,XXL"
Chillout_fleece_suit,69.99,Grey,M,"Stay toasty in the Chillout Fleece Suit, crafted from ultra-soft fleece for chill days and colder nights.",FLEECE,chillout_fleece_suit.jpg,"S,M,L,XL,XXL"
Classic_black_t,29.99,Black,M,"The Classic Black T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,classic_black_t.jpg,"S,M,L,XL,XXL"
Classic_white_t,29.99,Black,M,"The Classic White T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,classic_white_t.jpg,"S,M,L,XL,XXL"
Cobles_t,29.99,White,M,"The Cobles T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,cobles_t.jpg,"S,M,L,XL,XXL"
Comfy_cush_pants,89.99,Brown,M,"The Comfy Cush Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,comfy_cush_pants.jpg,"S,M,L,XL,XXL"
Deus_t,29.99,White,M,"The Deus T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,deus_t.jpg,"S,M,L,XL,XXL"
Distressed_baggy_pants,89.99,Blue,M,"The Distressed Baggy Pants are built for movement and style, offering a tailored silhouette with just the right stretch. Ready for the street or trail.",PANTS,distressed_baggy_pants.jpg,"S,M,L,XL,XXL"
Dusty_walk_shorts,59.99,Grey,M,The Dusty Walk Shorts bring skate park vibes and casual comfort together. Lightweight and versatile for everyday wear.,WALK SHORTS,dusty_walk_shorts.jpg,"S,M,L,XL,XXL"
Get_lost_t,29.99,White,M,"The Get Lost T is a comfortable everyday tee, crafted for those who live for freedom and style. Perfect fit and soft cotton for all-day comfort.",T-SHIRTS,get_lost_t.jpg,"S,M,L,XL,XXL"
